# add_icon 아이콘 매핑 파일 (UTF-8)
# 형식:  영어파일명.png = 한글 스킬명
#   - 파일명은 반드시 영어(ASCII)로! (배포 시 한글 파일명은 깨질 수 있음)
#   - 한글 스킬명은 이 파일 '내용'에만 적으면 됨(UTF-8이라 안전)
#   - '#' 로 시작하는 줄은 주석
#   - 아이콘 PNG 파일이 add_icon/class/ 에 존재할 때만 활성화됨
#   - 이 파일은 add_icon/class/ 폴더 전용 (아이덴티티 스킬 아이콘)

# ── 스킬룬 (공용) ─────────────────────────────────────────────
poison_rune.png = 스킬룬 중독
bleed_rune.png = 스킬룬 출혈

# ── 기상술사 ──────────────────────────────────────────────────
# 원본 위키 파일명: 공간가르기.jpg
gs_kongangari.png = 공간가르기
# 원본 위키 파일명: 눈부신 나날들.jpg
gs_nunbushin.png = 눈부신 나날들
Fox Rain.png = 여우비

# ── 가디언나이트 ──────────────────────────────────────────────
# 원본 위키 파일명: 인페르노버스트.png
gn_inferno.png = 인페르노 버스트
# 원본 위키 파일명: 가디언피어.png
gn_guardian_fear.png = 가디언 피어
# 원본 위키 파일명: 가디언스케일.png
gn_guardian_scale.png = 가디언 스케일

# ── 발키리 ────────────────────────────────────────────────────
# 원본 위키 파일명: 빛의기사.png
vk_light_knight.png = 빛의 기사
# 원본 위키 파일명: 종언의빛.png
vk_final_light.png = 종언의 빛
# 원본 위키 파일명: 빛의해방.png
vk_light_release.png = 빛의 해방
# 원본 위키 파일명: 신념의빛.png
vk_faith_light.png = 신념의 빛

# ── 블래스터 ──────────────────────────────────────────────────
# 원본 위키 파일명: 오버히트(블래스터).jpg
bl_overheat.png = 오버히트
# 원본 위키 파일명: 포화 공격.jpg
bl_bombardment.png = 포화 공격
# BUG FIX: 원래 .png 확장자 누락이었음
bl_Artillerist_Barrage-_Energy_Cannon.png = 포격 에너지포

# ── 서머너 ────────────────────────────────────────────────────
# 원본 위키 파일명: 오쉬.png
sm_osh.png = 오쉬
# 원본 위키 파일명: 알리마지.png
sm_alimaji.png = 알리마지
# 원본 위키 파일명: 피닉스(서머너).png
sm_phoenix.png = 피닉스
# 원본 위키 파일명: 자히아.png
sm_zahia.png = 자히아
# 원본 위키 파일명: 아키르.png
sm_akir.png = 아키르

# ── 슬레이어 ──────────────────────────────────────────────────
# 원본 위키 파일명: 블러드러스트2.png
sl_bloodlust.png = 블러드러스트

# ── 리퍼 ──────────────────────────────────────────────────────
# 원본 위키 파일명: 리퍼나이트메어아이덴티티.png
rp_nightmare.png = 나이트메어

# ── 홀리나이트 ────────────────────────────────────────────────
# 원본 위키 파일명: 신의 집행자.jpg
